acq_year,groupname,count
2003,arara do rio amonia,16
2004,arara do rio amonia,1
2005,arara do rio amonia,16
2006,arara do rio amonia,11
2007,arara do rio amonia,15
2008,arara do rio amonia,6
2009,arara do rio amonia,16
2010,arara do rio amonia,17
2011,arara do rio amonia,3
2012,arara do rio amonia,6
2013,arara do rio amonia,9
2014,arara do rio amonia,4
2015,arara do rio amonia,8
2016,arara do rio amonia,5
2017,arara do rio amonia,2
2018,arara do rio amonia,9
2019,arara do rio amonia,6
2001,arara do rio branco,4
2002,arara do rio branco,17
2003,arara do rio branco,15
2004,arara do rio branco,25
2005,arara do rio branco,27
2006,arara do rio branco,4
2007,arara do rio branco,18
2008,arara do rio branco,12
2009,arara do rio branco,22
2010,arara do rio branco,13
2011,arara do rio branco,1
2012,arara do rio branco,9
2013,arara do rio branco,1
2014,arara do rio branco,15
2015,arara do rio branco,7
2016,arara do rio branco,6
2017,arara do rio branco,6
2018,arara do rio branco,3
2019,arara do rio branco,18
2000,arariboia,1
2001,arariboia,20
2002,arariboia,131
2003,arariboia,164
2004,arariboia,78
2005,arariboia,548
2006,arariboia,80
2007,arariboia,1682
2008,arariboia,117
2009,arariboia,70
2010,arariboia,897
2011,arariboia,88
2012,arariboia,1282
2013,arariboia,129
2014,arariboia,250
2015,arariboia,2100
2016,arariboia,839
2017,arariboia,972
2018,arariboia,38
2019,arariboia,117
2002,araribß,1
2007,araribß,3
2009,araribß,3
2010,araribß,4
2012,araribß,8
2013,araribß,1
2015,araribß,3
2016,araribß,1
2018,araribß,2
2003,arary,2
2006,arary,1
2007,arary,1
2010,arary,1
2011,arary,2
2012,arary,1
2015,arary,6
2018,arary,1
2019,arary,3
2000,aratß,1
2001,aratß,17
2002,aratß,13
2003,aratß,8
2004,aratß,20
2005,aratß,17
2006,aratß,12
2007,aratß,10
2008,aratß,15
2009,aratß,23
2010,aratß,12
2011,aratß,10
2012,aratß,14
2013,aratß,6
2014,aratß,31
2015,aratß,18
2016,aratß,19
2017,aratß,16
2018,aratß,26
2019,aratß,30
2000,arawett igarapt ipixuna,1
2003,arawett igarapt ipixuna,3
2004,arawett igarapt ipixuna,5
2005,arawett igarapt ipixuna,5
2006,arawett igarapt ipixuna,12
2008,arawett igarapt ipixuna,6
2009,arawett igarapt ipixuna,8
2010,arawett igarapt ipixuna,7
2011,arawett igarapt ipixuna,7
2012,arawett igarapt ipixuna,4
2014,arawett igarapt ipixuna,8
2015,arawett igarapt ipixuna,10
2016,arawett igarapt ipixuna,3
2017,arawett igarapt ipixuna,3
2018,arawett igarapt ipixuna,1
2001,arees,72
2002,arees,175
2003,arees,450
2004,arees,183
2005,arees,317
2006,arees,72
2007,arees,948
2008,arees,55
2009,arees,127
2010,arees,1302
2011,arees,118
2012,arees,863
2013,arees,98
2014,arees,968
2015,arees,296
2016,arees,856
2017,arees,593
2018,arees,539
2019,arees,783
2001,aripuanp,9
2002,aripuanp,19
2003,aripuanp,26
2004,aripuanp,47
2005,aripuanp,71
2006,aripuanp,35
2007,aripuanp,46
2008,aripuanp,50
2009,aripuanp,17
2010,aripuanp,33
2011,aripuanp,16
2012,aripuanp,50
2013,aripuanp,31
2014,aripuanp,31
2015,aripuanp,39
2016,aripuanp,21
2017,aripuanp,40
2018,aripuanp,31
2019,aripuanp,49
2001,arroiokorß,2
2002,arroiokorß,9
2003,arroiokorß,4
2004,arroiokorß,3
2007,arroiokorß,8
2008,arroiokorß,5
2009,arroiokorß,8
2010,arroiokorß,6
2011,arroiokorß,5
2012,arroiokorß,12
2013,arroiokorß,3
2014,arroiokorß,9
2015,arroiokorß,9
2016,arroiokorß,11
2017,arroiokorß,19
2018,arroiokorß,6
2019,arroiokorß,12
2000,atikum,3
2001,atikum,3
2002,atikum,6
2003,atikum,4
2004,atikum,4
2005,atikum,1
2006,atikum,5
2007,atikum,18
2008,atikum,16
2009,atikum,9
2010,atikum,14
2011,atikum,8
2012,atikum,2
2013,atikum,1
2014,atikum,2
2015,atikum,2
2016,atikum,3
2017,atikum,3
2018,atikum,1
2001,avßcanoeiro,19
2002,avßcanoeiro,94
2003,avßcanoeiro,22
2004,avßcanoeiro,89
2005,avßcanoeiro,17
2006,avßcanoeiro,65
2007,avßcanoeiro,117
2008,avßcanoeiro,40
2009,avßcanoeiro,15
2010,avßcanoeiro,190
2011,avßcanoeiro,39
2012,avßcanoeiro,76
2013,avßcanoeiro,10
2014,avßcanoeiro,78
2015,avßcanoeiro,63
2016,avßcanoeiro,13
2017,avßcanoeiro,213
2019,avßcanoeiro,28
2000,awa,39
2001,awa,106
2002,awa,153
2003,awa,170
2004,awa,275
2005,awa,234
2006,awa,180
2007,awa,343
2008,awa,358
2009,awa,193
2010,awa,334
2011,awa,144
2012,awa,356
2013,awa,98
2014,awa,94
2015,awa,413
2016,awa,39
2017,awa,116
2018,awa,32
2019,awa,5
2002,ba,4
2003,ba,8
2004,ba,8
2005,ba,10
2006,ba,9
2007,ba,9
2008,ba,14
2009,ba,9
2010,ba,13
2011,ba,8
2012,ba,26
2013,ba,5
2014,ba,23
2015,ba,16
2016,ba,3
2017,ba,33
2018,ba,11
2019,ba,10
2001,bacurizinho,42
2002,bacurizinho,136
2003,bacurizinho,200
2004,bacurizinho,101
2005,bacurizinho,237
2006,bacurizinho,56
2007,bacurizinho,781
2008,bacurizinho,103
2009,bacurizinho,35
2010,bacurizinho,885
2011,bacurizinho,103
2012,bacurizinho,1077
2013,bacurizinho,175
2014,bacurizinho,972
2015,bacurizinho,551
2016,bacurizinho,407
2017,bacurizinho,940
2018,bacurizinho,120
2019,bacurizinho,155
2001,badjonkore,2
2002,badjonkore,293
2003,badjonkore,6
2004,badjonkore,233
2005,badjonkore,18
2006,badjonkore,101
2007,badjonkore,184
2008,badjonkore,146
2009,badjonkore,7
2010,badjonkore,535
2011,badjonkore,7
2012,badjonkore,238
2013,badjonkore,52
2014,badjonkore,53
2015,badjonkore,238
2016,badjonkore,7
2017,badjonkore,555
2018,badjonkore,1
2019,badjonkore,351
2001,baia do guat,4
2002,baia do guat,1
2004,baia do guat,19
2005,baia do guat,102
2007,baia do guat,40
2008,baia do guat,42
2009,baia do guat,2
2010,baia do guat,185
2012,baia do guat,6
2013,baia do guat,60
2014,baia do guat,12
2015,baia do guat,65
2016,baia do guat,49
2017,baia do guat,84
2018,baia do guat,9
2019,baia do guat,4
2000,bakairi,4
2001,bakairi,57
2002,bakairi,161
2003,bakairi,91
2004,bakairi,295
2005,bakairi,104
2006,bakairi,99
2007,bakairi,228
2008,bakairi,90
2009,bakairi,39
2010,bakairi,183
2011,bakairi,94
2012,bakairi,152
2013,bakairi,45
2014,bakairi,51
2015,bakairi,73
2016,bakairi,65
2017,bakairi,112
2018,bakairi,85
2019,bakairi,81
2002,balaio,3
2006,balaio,1
2007,balaio,3
2008,balaio,4
2010,balaio,2
2011,balaio,2
2013,balaio,1
2014,balaio,1
2015,balaio,3
2018,balaio,2
2019,balaio,1
2003,banawß,2
2004,banawß,1
2005,banawß,3
2006,banawß,2
2007,banawß,2
2010,banawß,5
2018,banawß,1
2001,barata livramento,8
2002,barata livramento,2
2003,barata livramento,7
2004,barata livramento,6
2005,barata livramento,8
2006,barata livramento,5
2007,barata livramento,5
2008,barata livramento,11
2009,barata livramento,10
2010,barata livramento,2
2011,barata livramento,10
