ACQ_YEAR,Name,n()
2015,Arara do IgarapT Humaitß,2
2016,Arara do IgarapT Humaitß,7
2017,Arara do IgarapT Humaitß,4
2018,Arara do IgarapT Humaitß,11
2019,Arara do IgarapT Humaitß,5
2002,Arara do Rio Amonia,7
2003,Arara do Rio Amonia,16
2004,Arara do Rio Amonia,1
2005,Arara do Rio Amonia,16
2006,Arara do Rio Amonia,11
2007,Arara do Rio Amonia,15
2008,Arara do Rio Amonia,6
2009,Arara do Rio Amonia,16
2010,Arara do Rio Amonia,17
2011,Arara do Rio Amonia,3
2012,Arara do Rio Amonia,6
2013,Arara do Rio Amonia,9
2014,Arara do Rio Amonia,4
2015,Arara do Rio Amonia,8
2016,Arara do Rio Amonia,5
2017,Arara do Rio Amonia,2
2018,Arara do Rio Amonia,9
2019,Arara do Rio Amonia,6
2001,Arara do Rio Branco,4
2002,Arara do Rio Branco,17
2003,Arara do Rio Branco,15
2004,Arara do Rio Branco,25
2005,Arara do Rio Branco,27
2006,Arara do Rio Branco,4
2007,Arara do Rio Branco,18
2008,Arara do Rio Branco,12
2009,Arara do Rio Branco,22
2010,Arara do Rio Branco,13
2011,Arara do Rio Branco,1
2012,Arara do Rio Branco,9
2013,Arara do Rio Branco,1
2014,Arara do Rio Branco,15
2015,Arara do Rio Branco,7
2016,Arara do Rio Branco,6
2017,Arara do Rio Branco,6
2018,Arara do Rio Branco,3
2019,Arara do Rio Branco,18
2000,Arariboia,1
2001,Arariboia,20
2002,Arariboia,131
2003,Arariboia,164
2004,Arariboia,78
2005,Arariboia,548
2006,Arariboia,80
2007,Arariboia,1682
2008,Arariboia,117
2009,Arariboia,70
2010,Arariboia,897
2011,Arariboia,88
2012,Arariboia,1282
2013,Arariboia,129
2014,Arariboia,250
2015,Arariboia,2100
2016,Arariboia,839
2017,Arariboia,972
2018,Arariboia,38
2019,Arariboia,117
2002,Araribß,1
2007,Araribß,3
2009,Araribß,3
2010,Araribß,4
2012,Araribß,8
2013,Araribß,1
2015,Araribß,3
2016,Araribß,1
2018,Araribß,2
2003,Arary,2
2006,Arary,1
2007,Arary,1
2010,Arary,1
2011,Arary,2
2012,Arary,1
2015,Arary,6
2018,Arary,1
2019,Arary,3
2000,Aratß,1
2001,Aratß,17
2002,Aratß,13
2003,Aratß,8
2004,Aratß,20
2005,Aratß,17
2006,Aratß,12
2007,Aratß,10
2008,Aratß,15
2009,Aratß,23
2010,Aratß,12
2011,Aratß,10
2012,Aratß,14
2013,Aratß,6
2014,Aratß,31
2015,Aratß,18
2016,Aratß,19
2017,Aratß,16
2018,Aratß,26
2019,Aratß,30
2000,ArawetT IgarapT Ipixuna,1
2003,ArawetT IgarapT Ipixuna,3
2004,ArawetT IgarapT Ipixuna,5
2005,ArawetT IgarapT Ipixuna,5
2006,ArawetT IgarapT Ipixuna,12
2008,ArawetT IgarapT Ipixuna,6
2009,ArawetT IgarapT Ipixuna,8
2010,ArawetT IgarapT Ipixuna,7
2011,ArawetT IgarapT Ipixuna,7
2012,ArawetT IgarapT Ipixuna,4
2014,ArawetT IgarapT Ipixuna,8
2015,ArawetT IgarapT Ipixuna,10
2016,ArawetT IgarapT Ipixuna,3
2017,ArawetT IgarapT Ipixuna,3
2018,ArawetT IgarapT Ipixuna,1
2001,Are)es,72
2002,Are)es,175
2003,Are)es,450
2004,Are)es,183
2005,Are)es,317
2006,Are)es,72
2007,Are)es,948
2008,Are)es,55
2009,Are)es,127
2010,Are)es,1302
2011,Are)es,118
2012,Are)es,863
2013,Are)es,98
2014,Are)es,968
2015,Are)es,296
2016,Are)es,856
2017,Are)es,593
2018,Are)es,539
2019,Are)es,783
2001,Aripuanp,9
2002,Aripuanp,19
2003,Aripuanp,26
2004,Aripuanp,47
2005,Aripuanp,71
2006,Aripuanp,35
2007,Aripuanp,46
2008,Aripuanp,50
2009,Aripuanp,17
2010,Aripuanp,33
2011,Aripuanp,16
2012,Aripuanp,50
2013,Aripuanp,31
2014,Aripuanp,31
2015,Aripuanp,39
2016,Aripuanp,21
2017,Aripuanp,40
2018,Aripuanp,31
2019,Aripuanp,49
2001,Arroio-Korß,2
2002,Arroio-Korß,9
2003,Arroio-Korß,4
2004,Arroio-Korß,3
2007,Arroio-Korß,8
2008,Arroio-Korß,5
2009,Arroio-Korß,8
2010,Arroio-Korß,6
2011,Arroio-Korß,5
2012,Arroio-Korß,12
2013,Arroio-Korß,3
2014,Arroio-Korß,9
2015,Arroio-Korß,9
2016,Arroio-Korß,11
2017,Arroio-Korß,19
2018,Arroio-Korß,6
2019,Arroio-Korß,12
2000,Atikum,3
2001,Atikum,3
2002,Atikum,6
2003,Atikum,4
2004,Atikum,4
2005,Atikum,1
2006,Atikum,5
2007,Atikum,18
2008,Atikum,16
2009,Atikum,9
2010,Atikum,14
2011,Atikum,8
2012,Atikum,2
2013,Atikum,1
2014,Atikum,2
2015,Atikum,2
2016,Atikum,3
2017,Atikum,3
2018,Atikum,1
2001,Avß-Canoeiro,19
2002,Avß-Canoeiro,94
2003,Avß-Canoeiro,22
2004,Avß-Canoeiro,89
2005,Avß-Canoeiro,17
2006,Avß-Canoeiro,65
2007,Avß-Canoeiro,117
2008,Avß-Canoeiro,40
2009,Avß-Canoeiro,15
2010,Avß-Canoeiro,190
2011,Avß-Canoeiro,39
2012,Avß-Canoeiro,76
2013,Avß-Canoeiro,10
2014,Avß-Canoeiro,78
2015,Avß-Canoeiro,63
2016,Avß-Canoeiro,13
2017,Avß-Canoeiro,213
2019,Avß-Canoeiro,28
2000,Awa,39
2001,Awa,106
2002,Awa,153
2003,Awa,170
2004,Awa,275
2005,Awa,234
2006,Awa,180
2007,Awa,343
2008,Awa,358
2009,Awa,193
2010,Awa,334
